Image,SSIM,PSNR,ERR,Host_img_size,Secret_image_size,time
Autumn1_Workflow.png,0.9926902198748628,41.859773369559946,12.712304253472222,"(1920, 1200)","(508, 364)",5.036883354187012
Autumn1_skills.png,0.9927796504421033,41.8761194492764,12.664547309027778,"(1920, 1200)","(583, 225)",5.063637018203735
GreenlandIceSheet_States.png,0.9927563254401335,50.299584945388304,1.8207198248969183,"(2048, 1152)","(1718, 481)",5.585839033126831
RainyLondon_States.png,0.9957357685508641,49.43805505273189,2.2202205102237653,"(3840, 2160)","(1718, 481)",18.417003393173218
RainyLondon_Workflow.png,0.9964388826209799,50.256521918547996,1.8388632089120371,"(3840, 2160)","(508, 364)",18.32741618156433
Pumpkin1_Level.png,0.9876662745109487,44.845524992263535,6.392181772228547,"(2121, 1414)","(1830, 914)",6.9989166259765625
Kids_Level.png,0.9908541424852063,46.7198359498247,4.151624064223799,"(3760, 1728)","(1830, 914)",13.854263305664062
RainyLondon_P4Europe.png,0.9944404283444239,48.38133508215102,2.8318360580632715,"(3840, 2160)","(1626, 832)",18.672159910202026
RainyLondon_Sensore.png,0.9963843310722811,50.21764987824465,1.8553960503472222,"(3840, 2160)","(516, 576)",18.106186389923096
Autumn3_P1ChildLabour.png,0.9926156914786874,40.94257280250169,15.701615397135416,"(2560, 1440)","(1735, 927)",8.407708406448364
RainyLondon_rule.png,0.9964705254004937,50.319120740834464,1.8125481047453704,"(3840, 2160)","(1028, 170)",17.723387718200684
Kids_skills.png,0.9955682919700101,49.06497040000862,2.419382726310087,"(3760, 1728)","(583, 225)",13.603153467178345
Pumpkin1_Sensore.png,0.9939786470091482,46.854010627597724,4.025321313703405,"(2121, 1414)","(516, 576)",6.4884374141693115
GreelanIceCap_P1ChildLabour.png,0.9886996647004582,46.27371823374669,4.600762261284722,"(2560, 1440)","(1735, 927)",8.490639448165894
GreenlandIceSheet_P4Europe.png,0.9876279199960648,46.986665618592255,3.9042269388834634,"(2048, 1152)","(1626, 832)",5.8764753341674805
GreenlandIceSheet_skills.png,0.9971619969141287,55.949782506106835,0.495705074734158,"(2048, 1152)","(583, 225)",5.42579460144043
GreenlandIceSheet_P2GlobalWarming.png,0.9884641762126055,47.18198412069939,3.7325291103786893,"(2048, 1152)","(1755, 881)",5.907808780670166
FamilyRunningMAsk_Sensore.png,0.9925215040803607,45.10318976420188,6.023967764060357,"(1080, 1080)","(516, 576)",2.715143918991089
Kids_Sensore.png,0.9955340921206237,49.012468049256256,2.4488084244483845,"(3760, 1728)","(516, 576)",13.528247594833374
FamilyRunningMAsk_Workflow.png,0.9929055883356983,45.18896030865108,5.90616512345679,"(1080, 1080)","(508, 364)",2.87249493598938
Pumpkin1_P3Interlaken.png,0.9842324028881116,44.02128851385161,7.728100553033683,"(2121, 1414)","(1739, 899)",7.1193249225616455
GreenlandIceSheet_Level.png,0.9907511919277118,48.67580277418134,2.6461919148763022,"(2048, 1152)","(1830, 914)",5.812940835952759
GreelanIceCap_P4Europe.png,0.9895937119050714,46.723707976751534,4.147924262152777,"(2560, 1440)","(1626, 832)",8.731253385543823
Pumpkin1_P2GlobalWarming.png,0.9845392676173436,44.07607435044461,7.6312236295361195,"(2121, 1414)","(1755, 881)",6.641104221343994
Kids_P5Tamil.png,0.9850920367419977,45.003962990730784,6.16318659500591,"(3760, 1728)","(1702, 934)",13.110952138900757
Pumpkin1_Workflow.png,0.9940689400410728,46.89113616342874,3.9910576327384204,"(2121, 1414)","(508, 364)",6.115875005722046
Kids_P1ChildLabour.png,0.9849586452541178,44.98654471656291,6.187954959613869,"(3760, 1728)","(1735, 927)",12.478395462036133
RainyLondon_skills.png,0.9964786099110338,50.28681556228535,1.8260810908564815,"(3840, 2160)","(583, 225)",17.354658842086792
dog_Workflow.png,0.9927550295786305,47.370216956525184,3.5742088014981275,"(800, 534)","(508, 364)",1.0878894329071045
FamilyRunningMAsk_rule.png,0.9933540073793413,45.335475755196924,5.710235768175583,"(1080, 1080)","(1028, 170)",2.7640624046325684
FamilyRunningMAsk_skills.png,0.9930457245813629,45.26558554074288,5.8028729423868315,"(1080, 1080)","(583, 225)",2.667285203933716
RainyLondon_P1ChildLabour.png,0.9938067755049856,48.05900900714409,3.050006148726852,"(3840, 2160)","(1735, 927)",17.891298055648804
Autumn3_skills.png,0.9951513631865048,41.804182723510166,12.876070421006945,"(2560, 1440)","(583, 225)",7.692512273788452
GreelanIceCap_States.png,0.9926004550751523,48.437048748715895,2.79573974609375,"(2560, 1440)","(1718, 481)",10.091421127319336
Autumn1_P3Interlaken.png,0.989931509249082,40.77414707346675,16.322508680555554,"(1920, 1200)","(1739, 899)",5.956209897994995
GreenlandIceSheet_P5Tamil.png,0.9848722648752867,46.151494758070044,4.732080671522352,"(2048, 1152)","(1702, 934)",7.393223762512207
Kids_Workflow.png,0.9954041808919448,48.95966887485632,2.4787614201635146,"(3760, 1728)","(508, 364)",14.356076955795288
Autumn1_rule.png,0.9928116798271033,41.89572339734702,12.607508680555556,"(1920, 1200)","(1028, 170)",5.503698110580444
Autumn3_P5Tamil.png,0.9925797304715448,40.93864853298193,15.715809733072916,"(2560, 1440)","(1702, 934)",9.742849826812744
Autumn1_P5Tamil.png,0.9893853859171019,40.545006525156694,17.20683376736111,"(1920, 1200)","(1702, 934)",6.4201743602752686
Pumpkin1_P1ChildLabour.png,0.9817042636939609,43.532371417213,8.648971656106811,"(2121, 1414)","(1735, 927)",7.238999128341675
GreelanIceCap_Level.png,0.9920165032905116,47.718058229966964,3.2991023763020833,"(2560, 1440)","(1830, 914)",8.496765375137329
Autumn3_Workflow.png,0.9951384313540165,41.79479567380281,12.903931477864583,"(2560, 1440)","(508, 364)",7.508464574813843
RainyLondon_P2GlobalWarming.png,0.9946065369446734,48.47507431538095,2.7713679108796296,"(3840, 2160)","(1755, 881)",18.30265188217163
Autumn3_P3Interlaken.png,0.9929756291533994,41.08576209052152,15.19236572265625,"(2560, 1440)","(1739, 899)",7.482187747955322
GreelanIceCap_Sensore.png,0.9955685398442878,50.1459805327761,1.8862687174479167,"(2560, 1440)","(516, 576)",7.423029661178589
Pumpkin1_skills.png,0.9942483846226365,46.979123790994905,3.911012792530011,"(2121, 1414)","(583, 225)",6.476012706756592
GreenlandIceSheet_P1ChildLabour.png,0.9851554090761518,46.21958930455489,4.658463372124566,"(2048, 1152)","(1735, 927)",6.4031641483306885
RainyLondon_P5Tamil.png,0.9938885130956964,48.06344022431928,3.046895736882716,"(3840, 2160)","(1702, 934)",20.025748252868652
GreelanIceCap_P2GlobalWarming.png,0.9903894561678648,46.882085749058184,3.9993834092881944,"(2560, 1440)","(1755, 881)",9.309707403182983
dog_skills.png,0.9928647696949607,47.75490366108147,3.27123127340824,"(800, 534)","(583, 225)",1.5120244026184082
Kids_P2GlobalWarming.png,0.9877010241716987,45.70193861034088,5.248168310431442,"(3760, 1728)","(1755, 881)",14.154627084732056
Pumpkin1_States.png,0.9904179644148972,45.56325393148647,5.418464376241625,"(2121, 1414)","(1718, 481)",6.118293285369873
GreenlandIceSheet_rule.png,0.9975323232931571,56.37958925001562,0.44899622599283856,"(2048, 1152)","(1028, 170)",5.498255968093872
GreelanIceCap_P3Interlaken.png,0.9900365022050641,46.819768852607524,4.057184244791666,"(2560, 1440)","(1739, 899)",9.197191953659058
GreenlandIceSheet_Sensore.png,0.9973349348332242,55.169580824974034,0.5932579040527344,"(2048, 1152)","(516, 576)",5.421972036361694
GreenlandIceSheet_Workflow.png,0.9973362742998145,55.53374456045945,0.5455407036675347,"(2048, 1152)","(508, 364)",5.303006649017334
Autumn1_P1ChildLabour.png,0.9894098095140756,40.55537745256737,17.16579296875,"(1920, 1200)","(1735, 927)",5.764825820922852
Pumpkin1_P4Europe.png,0.983780510431829,43.948843142742334,7.85809547816774,"(2121, 1414)","(1626, 832)",6.669022798538208
Autumn3_States.png,0.9943205358233272,41.522577818546296,13.738642849392361,"(2560, 1440)","(1718, 481)",8.502893447875977
Autumn1_P2GlobalWarming.png,0.9901085178567636,40.80414693624496,16.210145833333332,"(1920, 1200)","(1755, 881)",5.845219612121582
GreelanIceCap_P5Tamil.png,0.9887121613564637,46.265556120032734,4.6094170464409725,"(2560, 1440)","(1702, 934)",8.32246708869934
Kids_rule.png,0.995771202378554,49.19128093072368,2.3500306282013397,"(3760, 1728)","(1028, 170)",13.928972482681274
Autumn1_P4Europe.png,0.9900861943780531,40.739221722748894,16.454301215277777,"(1920, 1200)","(1626, 832)",5.758851528167725
Autumn3_P2GlobalWarming.png,0.9931316764909646,41.111738959678725,15.101765407986111,"(2560, 1440)","(1755, 881)",8.401749849319458
Autumn3_rule.png,0.9951597161619654,41.813660069612496,12.848002387152778,"(2560, 1440)","(1028, 170)",7.817883253097534
GreelanIceCap_skills.png,0.9956128617569903,50.24966856030404,1.8417673068576388,"(2560, 1440)","(583, 225)",7.870607376098633
Autumn3_P4Europe.png,0.9930823332201278,41.099622951086616,15.14395534939236,"(2560, 1440)","(1626, 832)",9.390086650848389
Autumn3_Level.png,0.9939039832438854,41.339965414002705,14.328643391927084,"(2560, 1440)","(1830, 914)",9.25929570198059
RainyLondon_Level.png,0.9951240656243835,48.987852126015845,2.4627277440200617,"(3840, 2160)","(1830, 914)",19.32091188430786
Pumpkin1_P5Tamil.png,0.9814800416963997,43.501133353400135,8.71140651143312,"(2121, 1414)","(1702, 934)",7.111100673675537
GreelanIceCap_rule.png,0.9956007015794316,50.24641840071699,1.8431461588541667,"(2560, 1440)","(1028, 170)",8.318705558776855
Autumn1_States.png,0.9916877796014144,41.396094446394315,14.144648871527778,"(1920, 1200)","(1718, 481)",5.4953083992004395
Autumn1_Level.png,0.9909338404265636,41.14153499095891,14.99850998263889,"(1920, 1200)","(1830, 914)",6.208297252655029
RainyLondon_P3Interlaken.png,0.9943401670709663,48.40436698259125,2.8168577594521604,"(3840, 2160)","(1739, 899)",18.76479411125183
Autumn1_Sensore.png,0.9926628492655801,41.848380240296436,12.745697048611111,"(1920, 1200)","(516, 576)",5.139218091964722
GreenlandIceSheet_P3Interlaken.png,0.9877300525330392,47.07310532907979,3.8272874620225696,"(2048, 1152)","(1739, 899)",5.9440083503723145
Autumn3_Sensore.png,0.9951043058583565,41.78794553521337,12.924300944010417,"(2560, 1440)","(516, 576)",7.919141530990601
Pumpkin1_rule.png,0.9945265398898598,47.065792854501076,3.8337371219441603,"(2121, 1414)","(1028, 170)",6.909617185592651
GreelanIceCap_Workflow.png,0.9956410240760865,50.25237643235614,1.8406193033854166,"(2560, 1440)","(508, 364)",8.04979920387268
Kids_P4Europe.png,0.9859739526741736,45.274524539021215,5.790941286199764,"(3760, 1728)","(1626, 832)",13.719769716262817
Kids_States.png,0.9905353733890584,46.731249644658206,4.140727504432624,"(3760, 1728)","(1718, 481)",13.855668306350708
Kids_P3Interlaken.png,0.9870270724725962,45.525298907558,5.466026398739165,"(3760, 1728)","(1739, 899)",13.955622911453247
